principio_ativo,produto,apresentacao,forma_farmaceutica,concentracao_texto,via_administracao,classe_terapeutica,controle,fonte
acetato de dexametasona + clotrimazol,BAYCUTEN N,"10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G",creme dermatológico,"10 mg/g + 0,443 mg/g",tópica,D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS,nao_classificado,ANVISA/CMED 2026-06
abatacepte,ORENCIA,250 MG PO LIOF SOL INJ CT 1 FA + SER DESCARTÁVEL,pó liofilizado para solução injetável,250 mg,parenteral,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
abatacepte,ORENCIA,125 MG/ML SOL INJ SC CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,solução injetável,125 mg/ml,subcutânea,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,nao_classificado,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,50 MG COM REV CT BL AL AL X 30,comprimido revestido,50 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,100 MG COM REV CT BL AL AL X 30,comprimido revestido,100 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,150 MG COM REV CT BL AL AL X 30,comprimido revestido,150 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,150 MG COM REV CT BL AL AL X 60,comprimido revestido,150 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,200 MG COM REV CT BL AL AL X 30,comprimido revestido,200 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,200 MG COM REV CT BL AL AL X 60,comprimido revestido,200 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abrocitinibe,CIBINQO,50 MG COM REV CT FR PLAS PEAD OPC X 30,comprimido revestido,50 mg,oral,D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
abrocitinibe,CIBINQO,100 MG COM REV CT FR PLAS PEAD OPC X 30,comprimido revestido,100 mg,oral,D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
abrocitinibe,CIBINQO,200 MG COM REV CT FR PLAS PEAD OPC X 30,comprimido revestido,200 mg,oral,D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acarbose,AGLUCOSE,50 MG COM CT BL AL AL X 30,comprimido,50 mg,oral,A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,nao_classificado,ANVISA/CMED 2026-06
acarbose,AGLUCOSE,100 MG COM CT BL AL AL X 30,comprimido,100 mg,oral,A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,FILINAR G,5 MG/ML GEL OR CT FR PLAS TRANS X 120ML + COL,gel oral,5 mg/ml,oral,R5C - EXPECTORANTES,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,FILINAR,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,FILINAR,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao_retida,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao_retida,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao_retida,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao_retida,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5MG/ML XPE CT FR PLAS PET AMB X 120ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,LISOMUC,5 MG / ML XPE  CT FR VD AMB X 100 ML + COP,xarope,5 mg / ml,oral,R5C - EXPECTORANTES,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,LISOMUC,5 MG / ML XPE CT FR PET AMB X 120 ML + COP,xarope,5 mg / ml,oral,R5C - EXPECTORANTES,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,LISOMUC,10 MG / ML XPE CT FR VD AMB X 100 ML + COP,xarope,10 mg / ml,oral,R5C - EXPECTORANTES,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,LISOMUC,10 MG / ML XPE CT FR PET AMB X 120 ML + COP,xarope,10 mg / ml,oral,R5C - EXPECTORANTES,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,MELYSSE,10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,MELYSSE,5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,MELYSSE,10 MG/ML XPE CT FR PLAS AMB X 60 ML + COP  X 10 ML,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,MELYSSE,5 MG/ML XPE CT FR PLAS AMB X 60 ML + COP X 10 ML,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,BRONDILAT,10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,BRONDILAT,5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,BRONDILAT,10 MG/ML XPE CT FR PLAS AMB X 60 ML + COP  X 10 ML,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,BRONDILAT,5 MG/ML XPE CT FR PLAS AMB X 60 ML + COP X 10 ML,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,BRONCOMUCOL,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,BRONCOMUCOL,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ ML XPE CX 50 FR PLAS OPC X 120 ML + 50 COP,xarope,5 mg/ ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CX 50 FR PLAS PET AMB X 120 ML + 50 COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CX 50 FR PLAS PET AMB X 120 ML + 50 COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,BRONTEK,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,BRONTEK,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10MG/ML XPE CT FR VD AMB X 120ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5MG/ML XPE CT FR VD AMB X 120ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,BRONCOLEX,5 MG/ML XPE INF CT FR PLAS AMB X 120 ML + COP,xarope inf,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,BRONCOLEX,10 MG/ML XPE AD CT FR PLAS AMB X 120 ML + COP,xarope ad,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,RESPIRAN,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,RESPIRAN,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,PROFLAM,15 MG/G CREM CT TB AL X 30 G,creme,15 mg/g,tópica,M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS,nao_classificado,ANVISA/CMED 2026-06
aceclofenaco,PROFLAM,100 MG COM REV CT BL AL/AL X 12,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,nao_classificado,ANVISA/CMED 2026-06
aceclofenaco,PROFLAM,100 MG COM REV CT BL AL / AL X 6,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,nao_classificado,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,100 MG COM REV CT BL AL/AL X 12,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,nao_classificado,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,100 MG  COM  REV CT BL AL AL X 12,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,nao_classificado,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,100 MG COM REV CT ENV AL X 12,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,nao_classificado,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,15 MG/G CREM DERM CT BG AL X 30 G,creme dermatológico,15 mg/g,tópica,M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS,nao_classificado,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,100 MG COM REV CT BL AL AL X 12,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,nao_classificado,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,100 MG COM REV CT BL AL AL X 24,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,nao_classificado,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,100 MG COM REV CT BL AL AL X 12,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,nao_classificado,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,100 MG COM REV CT BL AL AL X 24,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,nao_classificado,ANVISA/CMED 2026-06
aceclofenaco,ACEFLOR,100 MG  COM  REV CT BL AL PLAS OPC X 6,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACEFLOR,100 MG  COM  REV CT BL AL PLAS OPC X 12,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACEFLOR,100 MG  COM  REV CT BL AL PLAS OPC X 16,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACEFLOR,100 MG  COM  REV CT BL AL PLAS OPC X 24,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACEFLOR,100 MG  COM  REV CT BL AL AL X 6,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACEFLOR,100 MG  COM  REV CT BL AL AL X 12,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACEFLOR,100 MG  COM  REV CT BL AL AL X 16,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACEFLOR,100 MG  COM  REV CT BL AL AL X 24,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,100 MG COM REV CT STR AL X 12,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,100 MG COM REV CT STR AL X 24,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,100 MG COM REV CT BL AL AL X 12,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACECLOFENACO,100 MG COM CT BL AL/AL X 12,comprimido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceclofenaco,ACECLO-GRAN,100 MG COM REV CT BL AL AL X 12,comprimido revestido,100 mg,oral,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceponato de metilprednisolona,ADVANTAN,1 MG/G CREM DERM CT BG AL X 15 G,creme dermatológico,1 mg/g,tópica,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceponato de metilprednisolona,ADVANTAN,1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML,solução tópica,1 mg/ml,tópica,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
aceponato de metilprednisolona,ADVANTAN,1 MG/G EMU DERM CT BG AL X 20 G,emulsão dermatológica,1 mg/g,tópica,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,ZOSTIDE,250 MG COM CT BL AL PLAS PVC/PVDC TRANS X 120,comprimido,250 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,MATIZ,250 MG COM CT BL AL PLAS TRANS X 120,comprimido,250 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,ACETATO DE ABIRATERONA,250 MG COM CT FR PLAS PEAD OPC X 120,comprimido,250 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,ABMETHA,250 MG COM CT FR PLAS PEAD OPC X 120,comprimido,250 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,ACETATO DE ABIRATERONA,500 MG COM REV CT FR PLAS PEAD OPC X 60,comprimido revestido,500 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,SPYLGLEN,500 MG COM REV CT FR PLAS PEAD OPC X 60,comprimido revestido,500 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,ZYTIGA,250 MG COM CT FR PLAS PEAD OPC X 120,comprimido,250 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,ZYTIGA®,500 MG COM REV CT FR PLAS PEAD OPC X 60,comprimido revestido,500 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,ACETATO DE ABIRATERONA,250 MG COM CT FR PLAS PEAD OPC X 120,comprimido,250 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,ACETATO DE ABIRATERONA,250 MG COM REV CT FR PLAS PEAD OPC X 120,comprimido revestido,250 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,ACETATO DE ABIRATERONA,500 MG COM REV CT FR PLAS PEAD OPC X 60,comprimido revestido,500 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,BALEFIO,500 MG COM REV CT FR PLAS PEAD OPC X 60,comprimido revestido,500 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,RARIJA,250 MG COM REV CT FR PLAS PEAD OPC X 120,comprimido revestido,250 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de abiraterona,ACETATO DE ABIRATERONA,250 MG COM REV CT FR PLAS PEAD OPC X 120,comprimido revestido,250 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de atosibana,TRACTOCILE,"7,5 MG/ML SOL INJ CT FA VD TRANS X 0,9 ML",solução injetável,"7,5 mg/ml",parenteral,G2E - INIBIDORES DO PARTO,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de atosibana,TRACTOCILE,"7,5 MG/ML SOL DIL INFUS CT FA VD TRANS X 5 ML",solução para diluição para infusão,"7,5 mg/ml",parenteral,G2E - INIBIDORES DO PARTO,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de atosibana,ACETATO DE ATOSIBANA,"7,50 MG/ML SOL DIL INJ CT FA VD TRANS X 5 ML",solução para diluição injetável,"7,50 mg/ml",parenteral,G2E - INIBIDORES DO PARTO,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de bazedoxifeno + estrogênios conjugados,DUAVIVE,"0,45 MG + 20 MG COM REV LIB PROL CT ENV AL BL AL PLAS TRANS X 30",comprimido revestido de liberação prolongada,"0,45 mg + 20 mg",oral,"G3C - ESTRÓGENOS EXCLUINDO G3A, G3E, G3F",nao_classificado,ANVISA/CMED 2026-06
acetato de caspofungina,BERK,50 MG PO LIOF SOL INFUS IV CT FA VD TRANS,pó liofilizado para solução para infusão,50 mg,intravenosa,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de caspofungina,BERK,70 MG PO LIOF SOL INFUS IV CT FA VD TRANS,pó liofilizado para solução para infusão,70 mg,intravenosa,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de caspofungina,CANCIDAS,50 MG PO LIOF SOL INFUS IV CT FA VD TRANS,pó liofilizado para solução para infusão,50 mg,intravenosa,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de caspofungina,CANCIDAS,70 MG PO LIOF SOL INFUS IV CT FA VD TRANS,pó liofilizado para solução para infusão,70 mg,intravenosa,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de caspofungina,ACETATO DE CASPOFUNGINA,50 MG PO LIOF SOL INFUS IV CT FA VD TRANS,pó liofilizado para solução para infusão,50 mg,intravenosa,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de caspofungina,ACETATO DE CASPOFUNGINA,70 MG PO LIOF SOL INFUS IV CT FA VD TRANS,pó liofilizado para solução para infusão,70 mg,intravenosa,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de caspofungina,KAZFONA,50 MG PO LIOF SOL INFUS IV CT FA VD TRANS,pó liofilizado para solução para infusão,50 mg,intravenosa,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de caspofungina,KAZFONA,70 MG PO LIOF SOL INFUS IV CT FA VD TRANS,pó liofilizado para solução para infusão,70 mg,intravenosa,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de cetrorrelix,CETROTIDE,"0,25 MG PO LIOF SOL SC INJCT FA VD TRANS + 1 SER DIL + 2 AGU+ 2 LEN",pó liofilizado para solução injct,"0,25 mg",subcutânea,H1C3 - HORMÔNIOS DE LIBERAÇÃO ANTIGONADOTROFINA,venda_sob_prescricao,ANVISA/CMED 2026-06
acetato de ciproterona,ACETATO DE CIPROTERONA,50 MG COM CT BL AL PLAS TRANS X 20,comprimido,50 mg,oral,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,nao_classificado,ANVISA/CMED 2026-06
acetato de ciproterona,ANDROCUR,50 MG COM CT BL AL PLAS TRANS X 20,comprimido,50 mg,oral,G3A5 - PREPARAÇÕES ORAIS COM PROGESTAGÊNIOS SOMENTE,venda_sob_prescricao,ANVISA/CMED 2026-06
